City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,sao joao da barra,-21.6403,-41.0511,23.06,85,5,0.62,BR,1683511690
130,katpur,21.05,71.7833,29.09,54,0,2.62,IN,1683511691
131,college,64.8569,-147.8028,7.89,54,100,1.37,US,1683511381
132,crucecita,-28.95,-58.9833,14.43,92,0,0.41,AR,1683511448
133,namtsy,62.7161,129.6658,-2.84,54,9,7.01,RU,1683511692
134,watsa,3.0372,29.5355,17.46,91,80,1.41,CD,1683511693
135,fada,9.5667,8.3,22.24,78,100,1.64,NG,1683511432
136,constantia,44.1833,28.65,10.39,73,64,1.49,RO,1683511391
137,urucurituba,-2.6833,-57.6667,23.9,97,100,0.38,BR,1683511694
138,greenville,35.6127,-77.3663,23.02,65,40,3.6,US,1683511530
139,georgetown,5.4112,100.3354,30.96,84,20,1.03,MY,1683511177
140,san antonio oeste,-40.7319,-64.9477,13.48,69,89,8.64,AR,1683511696
141,sikasso,10.9167,-7.0,27.75,59,100,2.32,ML,1683511696
142,alice springs,-23.7,133.8833,13.75,24,34,9.26,AU,1683511380
143,kuanda,56.3161,116.0806,5.17,45,98,3.41,RU,1683511551
144,ryotsu-minato,38.0833,138.4333,10.99,87,100,4.07,JP,1683511697
145,leirvik,59.7798,5.5005,10.48,68,100,3.22,NO,1683511572
146,souillac,-20.5167,57.5167,24.72,80,94,6.14,MU,1683511698
147,nova sintra,14.8667,-24.7167,20.22,80,0,6.7,CV,1683511525
148,afaahiti,-17.75,-149.2833,28.93,79,100,4.77,PF,1683511405
149,huarmey,-10.0681,-78.1522,22.9,84,80,5.13,PE,1683511450
150,greci,45.1833,28.2333,12.36,56,99,1.8,RO,1683511700
151,susuman,62.7833,148.1667,3.67,65,35,2.72,RU,1683511517
152,boguchany,58.3814,97.4531,14.87,51,28,2.51,RU,1683511701
153,severo-yeniseyskiy,60.3725,93.0408,11.82,72,94,3.62,RU,1683511558
154,sos'va,59.1766,61.8558,0.89,61,8,5.92,RU,1683511701
155,waingapu,-9.6567,120.2641,29.22,70,40,8.28,ID,1683511702
156,mount pearl,47.5166,-52.7813,4.19,70,75,8.75,CA,1683511278
157,sarmiento,-45.5882,-69.07,10.01,65,4,2.21,AR,1683511188
158,st. john's,47.5649,-52.7093,4.66,70,75,8.75,CA,1683511317
159,mount gambier,-37.8333,140.7667,13.71,69,92,3.49,AU,1683511240
160,tiksi,71.6872,128.8694,-11.67,80,71,6.04,RU,1683511412
161,labytnangi,66.6572,66.4183,-5.71,94,100,6.55,RU,1683511704
162,brisas de zicatela,15.8369,-97.0419,29.29,70,0,1.54,MX,1683511549
163,mejit,10.2753,170.8646,27.57,82,62,7.85,MH,1683511705
164,olean,42.0776,-78.4297,17.38,99,97,1.35,US,1683511444
165,mana,5.6592,-53.7767,24.63,94,100,2.98,GF,1683511546
166,la passe,45.5549,-0.8967,14.43,92,51,2.63,FR,1683511511
167,alofi,-19.0595,-169.9187,27.94,74,84,2.57,NU,1683511489
168,dalbandin,28.8947,64.4101,23.49,12,0,0.92,PK,1683511425
169,port alfred,-33.5906,26.891,18.54,71,100,4.41,ZA,1683511475
170,tarrafal de sao nicolau,16.5667,-24.3667,22.28,81,6,7.32,CV,1683511708
171,hadibu,12.65,54.0333,27.65,58,12,1.56,YE,1683511708
172,iguape,-24.7081,-47.5553,21.57,93,64,1.78,BR,1683511708
173,seven pagodas,12.6264,80.1722,28.03,76,100,3.87,IN,1683511709
174,kangding,30.0513,101.9603,10.57,86,89,1.62,CN,1683511709
175,egilsstadir,65.2653,-14.3948,8.95,81,75,3.6,IS,1683511555
176,dakhla,23.6848,-15.958,18.26,84,3,11.02,EH,1683511711
177,geraldton,-28.7667,114.6,23.23,38,75,11.83,AU,1683511614
178,kagizman,40.1567,43.1342,8.15,84,34,2.26,TR,1683511712
179,jamestown,42.097,-79.2353,16.4,87,100,3.09,US,1683511514
180,port lincoln,-34.7333,135.8667,14.35,63,100,3.46,AU,1683511386
181,ilulissat,69.2167,-51.1,0.01,86,100,0.0,GL,1683511394
182,naracoorte,-36.9579,140.7383,14.79,54,57,6.61,AU,1683511714
183,noshiro,40.2039,140.0242,6.95,74,100,4.24,JP,1683511714
184,flin flon,54.7682,-101.865,13.01,52,33,1.77,CA,1683511715
185,porecatu,-22.7558,-51.3792,20.99,88,58,0.55,BR,1683511681
186,talnakh,69.4865,88.3972,-10.34,79,86,2.48,RU,1683511401
187,klyuchi,52.2667,79.1667,20.51,29,0,1.07,RU,1683511435
188,karratha,-20.7377,116.8463,28.56,30,24,11.09,AU,1683511506
189,great falls,47.5002,-111.3008,14.26,63,100,5.66,US,1683511717
190,nambucca,-30.6333,152.9833,20.46,31,0,5.38,AU,1683511717
191,alto barinas,8.5931,-70.2261,28.72,56,100,1.67,VE,1683511718
192,olbia,40.9214,9.4856,15.03,100,20,1.54,IT,1683511718
193,berber,18.0216,33.983,27.45,15,1,6.53,SD,1683511718
194,talara,-4.5772,-81.2719,26.42,78,0,5.14,PE,1683511719
195,ta`u,-14.2336,-169.5144,27.79,74,47,4.99,AS,1683511507
196,grand falls-windsor,48.9332,-55.6649,6.95,74,100,1.34,CA,1683511720
197,novyy urengoy,66.0833,76.6333,1.58,100,100,10.76,RU,1683511693
198,rosarito,32.3333,-117.0333,18.13,72,0,4.88,MX,1683511720
199,hobyo,5.3505,48.5268,27.07,79,43,10.3,SO,1683511567
200,lashio,22.9333,97.75,31.46,29,0,0.61,MM,1683511721
201,wanning,18.8003,110.3967,30.14,70,100,1.93,CN,1683511721
202,wad az zaki,14.4619,32.2065,30.46,11,99,7.0,SD,1683511722
203,arauca,7.0847,-70.7591,27.53,60,100,2.09,CO,1683511722
204,puerto baquerizo moreno,-0.9,-89.6,26.3,87,94,4.63,EC,1683511368
205,usinsk,65.9939,57.5281,-7.81,91,100,9.21,RU,1683511723
206,gebeit,21.0667,36.3167,22.53,35,0,2.21,SD,1683511723
207,argo,37.6333,22.7333,15.44,66,2,1.39,GR,1683511724
208,fort mcmurray,56.7268,-111.381,16.77,36,100,3.6,CA,1683511147
209,selfoss,63.9331,-20.9971,9.91,89,99,3.12,IS,1683511471
210,quellon,-43.1167,-73.6167,1.14,100,39,0.0,CL,1683511523
211,uruzgan,32.8333,66.0,11.85,40,0,2.18,AF,1683511725
212,cooper's town,26.8667,-77.5167,22.45,61,0,8.46,BS,1683511726
213,island harbour,50.724,-1.2758,11.37,95,100,0.89,GB,1683511598
214,mahajanga,-15.7167,46.3167,23.44,76,0,3.96,MG,1683511727
215,avarua,-21.2078,-159.775,25.03,100,75,4.12,CK,1683511727
216,qaqortoq,60.7167,-46.0333,1.34,81,100,0.98,GL,1683511727
217,nogliki,51.8333,143.1667,6.7,63,98,4.22,RU,1683511728
218,nanao,37.05,136.9667,14.07,89,100,5.41,JP,1683511728
219,tirat karmel,32.7617,34.9719,17.6,84,14,2.26,IL,1683511729
220,magadan,59.5667,150.8,4.74,83,31,3.18,RU,1683511563
221,shalqar,47.8333,59.6,14.92,54,44,2.95,KZ,1683511729
222,harper,4.375,-7.7169,26.62,82,100,1.3,LR,1683511525
223,elmali,36.7358,29.9177,8.69,86,0,1.93,TR,1683511730
224,polyarnyy,69.1989,33.4478,1.19,88,100,6.58,RU,1683511529
225,haiku-pauwela,20.9219,-156.3051,27.01,62,40,12.86,US,1683511731
226,amahai,-3.3333,128.9167,30.65,67,61,1.32,ID,1683511732
227,crane,31.3974,-102.3501,28.68,11,11,2.73,US,1683511402
228,happy valley-goose bay,53.3168,-60.3315,-0.76,91,54,1.25,CA,1683511601
229,kriel,-26.2739,29.2253,11.01,88,99,4.13,ZA,1683511733
230,beau vallon,-20.4189,57.6953,25.12,75,58,7.24,MU,1683511734
231,taoudenni,22.6783,-3.9836,34.24,9,100,3.38,ML,1683511734
232,isangel,-19.55,169.2667,27.73,65,1,3.46,VU,1683511548
233,whitehorse,60.7161,-135.0538,14.43,24,20,6.17,CA,1683511168
234,goz beida,13.95,20.55,29.55,36,100,4.28,TD,1683511736
235,isla mujeres,21.2311,-86.731,27.87,80,97,4.36,MX,1683511206
236,punta arenas,-53.15,-70.9167,8.06,76,0,7.72,CL,1683511184
237,prado,-17.3411,-39.2208,22.79,90,4,2.84,BR,1683511737
238,general acha,-37.377,-64.6043,11.85,75,6,5.86,AR,1683511738
239,hasaki,35.7333,140.8333,12.9,88,100,14.52,JP,1683511451
240,urzhar,47.093,81.6294,14.56,45,35,0.36,KZ,1683511738
241,kununurra,-15.7667,128.7333,25.99,29,9,6.69,AU,1683511564
242,tucuma,-0.1833,-50.05,24.92,92,63,2.44,BR,1683511740
243,pisco,-13.7,-76.2167,20.03,88,0,6.69,PE,1683511425
244,inegol,40.0781,29.5133,7.6,95,25,0.46,TR,1683511740
245,sokoni,-6.4333,39.55,26.5,78,29,6.76,TZ,1683511741
246,cabo san lucas,22.8909,-109.9124,28.12,57,93,4.88,MX,1683511374
247,kerema,-7.9631,145.7785,29.6,73,23,2.95,PG,1683511742
248,xilin hot,43.9667,116.0333,15.22,29,33,3.8,CN,1683511742
249,banda aceh,5.5577,95.3222,26.26,87,99,5.47,ID,1683511543
250,macapa,0.0389,-51.0664,25.99,100,40,1.54,BR,1683511465
251,sayat,38.7839,63.8803,13.93,38,0,3.09,TM,1683511530
252,mananjary,-21.2167,48.3333,20.76,92,16,2.3,MG,1683511744
253,kibuye,-2.0597,29.3482,18.03,83,19,0.87,RW,1683511744
254,castillos,-34.1667,-53.8333,13.07,91,89,2.48,UY,1683511424
255,gornopravdinsk,60.05,69.9,5.61,55,12,6.69,RU,1683511745
256,dudinka,69.4058,86.1778,-12.2,83,100,5.69,RU,1683511499
257,deori khas,23.4,79.0167,31.35,33,31,2.13,IN,1683511746
258,kapa'a,22.0752,-159.319,27.99,68,82,3.13,US,1683511423
259,tangalle,6.024,80.7911,26.09,81,100,4.58,LK,1683511435
260,sinabang,2.4803,96.3801,26.81,84,100,5.68,ID,1683511747
261,la'ie,21.6477,-157.9253,27.98,68,100,3.58,US,1683511747
262,nuuk,64.1835,-51.7216,1.6,86,20,3.6,GL,1683511524
263,mil'kovo,55.6078,37.7956,0.75,68,9,1.97,RU,1683511749
264,kotabumi,-4.8333,104.9,28.13,72,92,2.02,ID,1683511749
265,acarau,-2.8856,-40.12,25.51,82,58,3.6,BR,1683511605
266,syston,52.6833,-1.0667,11.96,86,100,1.79,GB,1683511750
267,qina,26.1642,32.7267,21.24,34,0,3.49,EG,1683511750
268,twon-brass,4.3151,6.2418,27.96,76,100,3.82,NG,1683511751
269,byerazino,53.8391,28.9879,-0.28,71,2,2.48,BY,1683511751
270,chibougamau,49.9168,-74.3659,7.79,39,0,3.09,CA,1683511561
271,horta,38.5333,-28.6333,17.23,98,100,3.58,PT,1683511752
272,kolonia town,6.964,158.206,29.06,79,100,2.57,FM,1683511573
273,juan de herrera,18.874,-71.2383,21.32,77,17,0.94,DO,1683511753
274,tshikapa,-6.4167,20.8,21.78,87,11,0.98,CD,1683511754
